Medicina,Peso,Indice PH
M1,2.483900426,2.928096445
M2,3.650496513,3.80862839
M3,-0.032962175,3.165333081
M4,2.775955988,3.261711121
M5,2.286888716,3.101650245
M6,0.823080533,3.39595697
M7,1.60976718,3.091496199
M8,2.30836202,5.508601705
M9,5.220557246,1.950001473
M10,4.492493327,1.331130826
M11,0.785101754,1.97338697
M12,4.73143112,2.015990889
M13,2.652863802,2.609751633
M14,1.943250614,2.84837711
M15,2.643268613,2.803319796
M16,1.815530548,3.487200992
M17,1.888270087,3.350339583
M18,3.340727847,3.676106086
M19,3.268131041,4.600430309
M20,3.275473172,4.100756297
M21,2.60434742,1.845069506
M22,0.91326177,0.903940935
M23,2.645514786,3.81173832
M24,3.46721176,1.347925185
M25,2.440004393,3.06008122
M26,2.931223709,3.031931537
M27,2.65419662,5.00445127
M28,1.726903168,2.937707171
M29,2.26448432,2.543409242
M30,1.291445477,3.212228705
M31,2.799556069,3.221224367
M32,0.967636904,3.063040688
M33,1.038016588,2.452277541
M34,1.271451175,1.899665958
M35,-0.649855746,3.284850325
M36,3.294542264,1.791417687
M37,2.292671486,2.07103409
M38,1.320564513,4.198094297
M39,3.233268686,2.622987124
M40,0.459635223,2.87371045
M41,1.907981799,3.809840096
M42,1.782697663,2.729900095
M43,2.287286065,3.926429141
M44,2.281572737,2.689440626
M45,1.221608074,3.911521678
M46,1.972953833,3.566401126
M47,1.851608883,2.808286426
M48,2.564936559,2.220872422
M49,2.983939102,2.061202529
M50,2.998345968,2.756938069
M51,1.22271246,2.60567278
M52,2.069623182,2.632193117
M53,0.907294661,3.885190712
M54,0.997849333,2.73207257
M55,1.993835605,4.02931102
M56,3.379367277,2.521541894
M57,1.307300678,3.875309155
M58,2.334240931,2.529974564
M59,1.796974038,3.158920015
M60,3.005620525,3.873664041
M61,1.019842134,2.627424953
M62,2.029301718,2.605556534
M63,2.497274319,4.80305155
M64,2.990549196,3.85589415
M65,3.389790706,2.611196541
M66,2.07733802,3.584046664
M67,0.65756872,2.675931329
M68,1.331928346,3.635296517
M69,1.04457644,4.274264162
M70,4.115411502,1.555935898
M71,1.445958307,3.925967762
M72,2.673269105,4.312171003
M73,1.82682334,3.042724191
M74,2.799749383,4.571631039
M75,1.311635687,3.139848763
M76,0.737957928,1.886592284
M77,0.719861667,1.025855149
M78,2.439374519,2.699933639
M79,1.840362359,3.642188972
M80,1.823551861,3.28566696
